ADM0_NAME,n_adm2,gini_concrete_cap,gini_steel_cap
México,2457.0,0.24911877023859486,0.2518836419572017
Namibia,107.0,0.5040571701819118,0.5440493365408952
Nepal,14.0,0.2746811683107091,0.263209906120611
Netherlands,354.0,0.2136233222197943,0.19393259570088162
New Caledonia,34.0,0.1485415985649441,0.18933829133033064
New Zealand,68.0,0.16934897424815076,0.22589252791509673
Nicaragua,137.0,0.36824490424032097,0.3685070837930233
Niger,36.0,0.5184394416847133,0.5362856684032165
Nigeria,774.0,0.6531613795011841,0.6720148040620383
North Korea,186.0,0.571531663190199,0.5897153718903048
Norway,438.0,0.18529920762279228,0.2661827640475952
Oman,49.0,0.19903483706221403,0.25031803611111547
Pakistan,30.0,0.21523084341862864,0.1941360279218165
Palestine,16.0,0.20880947209473455,0.1988778311773307
Panama,75.0,0.24100911133810532,0.24094043711331126
Papua New Guinea,87.0,0.7731271099201713,0.8112053276424434
Paraguay,217.0,0.3873440151171139,0.3842961256274452
Peru,194.0,0.1896982825150253,0.18707442628542614
Philippines,1628.0,0.4476373950353473,0.47925634870728995
Poland,379.0,0.19035918417503017,0.17496615952181294
Portugal,308.0,0.25283951548896477,0.22875171786226456
Republic of the Congo,48.0,0.6412951218987946,0.6400941613846611
Romania,2939.0,0.5807530629785415,0.5700267404620047
Russia,2405.0,0.20792050174406185,0.2196206432616924
Rwanda,30.0,0.5012554295262456,0.5368059647094532
Réunion,24.0,0.123423118251618,0.13169235149421055
Saint-Barthélemy,33.0,0.9670149697811683,0.967278131040426
Samoa,43.0,0.4387851846311446,0.44578147117535516
Saudi Arabia,147.0,0.23115022099082205,0.24775508643160915
Senegal,45.0,0.27103063427999885,0.299230166794214
Serbia,161.0,0.23349320498244164,0.21037722411731785
Sierra Leone,14.0,0.45319007005188117,0.4813205081739361
Slovakia,79.0,0.13658796176603094,0.13641513645954984
Slovenia,192.0,0.14626649572149542,0.12805350911871094
Solomon Islands,181.0,0.9210899490048348,0.9285302321273794
Somalia,74.0,0.5905254562227095,0.6021815265746246
South Africa,52.0,0.13999755891144416,0.14175580557852496
South Korea,229.0,0.25928470411322513,0.2412517167480026
South Sudan,45.0,0.8439467782685146,0.8536806799029959
Spain,52.0,0.20167731416275358,0.18025408195005044
Sri Lanka,323.0,0.6272866159918771,0.6197963851186437
Sudan,80.0,0.5314397613391926,0.5468414037583677
Suriname,62.0,0.5643799504478577,0.5604550944214752
Swaziland,55.0,0.3956631333334888,0.42582397339010025
Sweden,290.0,0.1864018345263696,0.1647849480536996
Switzerland,168.0,0.16531047283001854,0.14340215371423504
Syria,60.0,0.21419486026104828,0.21897119362116257
São Tomé and Príncipe,7.0,0.47270426680798117,0.4893644923977769
Taiwan,22.0,0.14037239481903618,0.15401859386719718
Tajikistan,59.0,0.19390527453540063,0.20421743497777944
Tanzania,171.0,0.4619952572224465,0.4910426935436196
Thailand,926.0,0.29503802826536907,0.3043627305657791
Timor-Leste,62.0,0.4045763681348188,0.46014716639629394
Togo,40.0,0.3548254787802656,0.3891165386414932
Tonga,11.0,0.38052220658381186,0.4168966569162401
Tunisia,262.0,0.34950062127065995,0.3759089106456507
Turkey,929.0,0.34466673342617293,0.3490861195930075
Turkmenistan,58.0,0.31311460917505285,0.32140658593700033
Uganda,164.0,0.706123517823745,0.7287189575785838
Ukraine,630.0,0.30636067215861706,0.3069850375916088
United Arab Emirates,188.0,0.4838752392939698,0.5152353225331012
United Kingdom,184.0,0.1335172794154179,0.11852625297037378
United States,3137.0,0.1963790502716205,0.18045970978015546
Uruguay,141.0,0.24406938059737304,0.24216536071318817
Uzbekistan,160.0,0.2696210094825927,0.2765245224917854
Vanuatu,63.0,0.7008100568644996,0.7119149338557296
Venezuela,337.0,0.28464518032126906,0.28120992765712627
Vietnam,710.0,0.4171543581699766,0.42980635468444406
"Virgin Islands, U.S.",20.0,0.38564352024346304,0.39294543111159674
Wallis and Futuna,5.0,0.42454053877123843,0.425219807658481
Yemen,332.0,0.72847661188578,0.7458265128613208
Zambia,115.0,0.3539422870365796,0.3768519203556674
Zimbabwe,91.0,0.5278695228413576,0.5513524517956057
Åland,16.0,0.3883678353689707,0.39086958156286733
