scenario,percentile,material,income_level,total_gap
8,50,concrete,NA,0.141064321773964
8,50,concrete,L,7.756180173946128
8,50,concrete,LM,17.75507726405035
8,50,concrete,UM,2.7059171690427286
8,50,concrete,H,0.7120287586856247
9,50,concrete,NA,0.1685651275543651
9,50,concrete,L,8.477642451276509
9,50,concrete,LM,20.607543907025253
9,50,concrete,UM,2.992311400698812
9,50,concrete,H,0.7822873202996491
10,50,concrete,NA,0.19700886826192499
10,50,concrete,L,9.210518495656984
10,50,concrete,LM,23.576687755777307
10,50,concrete,UM,3.312103721290287
10,50,concrete,H,0.8582053546080495
1,50,steel,NA,0.0033727517433781843
1,50,steel,L,0.23521371214440936
1,50,steel,LM,0.4707548462610467
1,50,steel,UM,0.06516491792297072
1,50,steel,H,0.013868455334957324
2,50,steel,NA,0.004620338211964848
2,50,steel,L,0.27469108562173367
2,50,steel,LM,0.613663753509026
2,50,steel,UM,0.07965931939904335
2,50,steel,H,0.015325225390873682
3,50,steel,NA,0.0059714930691012885
3,50,steel,L,0.3148709565182327
3,50,steel,LM,0.767519268161723
3,50,steel,UM,0.09779574739890105
3,50,steel,H,0.017105636067404544
4,50,steel,NA,0.0073947375320565795
4,50,steel,L,0.3560836933817326
4,50,steel,LM,0.9298105850041488
4,50,steel,UM,0.12041778689637254
4,50,steel,H,0.01953192519050844
5,50,steel,NA,0.008972747894829936
5,50,steel,L,0.3980026917731257
5,50,steel,LM,1.1003281224759915
5,50,steel,UM,0.14992596363572838
5,50,steel,H,0.02272599812213741
6,50,steel,NA,0.010699799898604645
6,50,steel,L,0.4402643460314434
6,50,steel,LM,1.2783462726233068
6,50,steel,UM,0.1859781624988261
6,50,steel,H,0.026804660169270373
7,50,steel,NA,0.012529601538754185
7,50,steel,L,0.48289005807887797
7,50,steel,LM,1.4619549284966173
7,50,steel,UM,0.22768911935816888
7,50,steel,H,0.031897653220214775
8,50,steel,NA,0.014411809587846327
8,50,steel,L,0.5260432581742783
8,50,steel,LM,1.6512141497850694
8,50,steel,UM,0.2736990360289093
8,50,steel,H,0.03808071488581038
9,50,steel,NA,0.016425947116720536
9,50,steel,L,0.5697383816399416
9,50,steel,LM,1.8449996063819551
9,50,steel,UM,0.32603075121207603
9,50,steel,H,0.04503857163580592
10,50,steel,NA,0.01853726800564599
10,50,steel,L,0.6136922907360942
10,50,steel,LM,2.0428082432425576
10,50,steel,UM,0.3828828142401178
10,50,steel,H,0.05312038438757343
1,75,concrete,NA,0.02401319474404294
1,75,concrete,L,1.9497907321145544
1,75,concrete,LM,1.9789958572058408
1,75,concrete,UM,1.8333558187969536
1,75,concrete,H,0.41909497704593357
2,75,concrete,NA,0.027170544133477654
2,75,concrete,L,2.387750768589828
2,75,concrete,LM,2.59413268518548
2,75,concrete,UM,1.9762671991935723
2,75,concrete,H,0.46424010391688414
3,75,concrete,NA,0.03139919436973186
3,75,concrete,L,2.8481416661114918
3,75,concrete,LM,3.3151894074342922
3,75,concrete,UM,2.126225096455051
3,75,concrete,H,0.5152624027015371
4,75,concrete,NA,0.03650022117311954
4,75,concrete,L,3.323693429254712
4,75,concrete,LM,4.188276040803442
4,75,concrete,UM,2.2819549869034703
4,75,concrete,H,0.5753640616008352
5,75,concrete,NA,0.041657011363667444
5,75,concrete,L,3.8148418388927197
5,75,concrete,LM,5.220359933796479
5,75,concrete,UM,2.4507714316313796
5,75,concrete,H,0.6434027744684733
6,75,concrete,NA,0.046820253805344186
6,75,concrete,L,4.325569968190003
6,75,concrete,LM,6.383172471298847
6,75,concrete,UM,2.6326422290685145
6,75,concrete,H,0.7164004690838109
7,75,concrete,NA,0.05251433091138764
7,75,concrete,L,4.853547846721649
7,75,concrete,LM,7.659293517646216
7,75,concrete,UM,2.823868843620311
7,75,concrete,H,0.7955735655766891
8,75,concrete,NA,0.06009282162407543
8,75,concrete,L,5.391533200331794
8,75,concrete,LM,9.073336881648647
8,75,concrete,UM,3.0337912237154447
8,75,concrete,H,0.8813986585875646
9,75,concrete,NA,0.06809625411660425
9,75,concrete,L,5.936098792321717
9,75,concrete,LM,10.637825911973598
9,75,concrete,UM,3.25703970451055
9,75,concrete,H,0.9722299194263772
10,75,concrete,NA,0.07813496985981917
10,75,concrete,L,6.488746458256166
10,75,concrete,LM,12.36386917536203
10,75,concrete,UM,3.4984962254167833
10,75,concrete,H,1.076053901257906
1,75,steel,NA,0.0018802996432742954
1,75,steel,L,0.14425185984012412
1,75,steel,LM,0.2513090556961666
1,75,steel,UM,0.09295628960917875
1,75,steel,H,0.020291683972334103
2,75,steel,NA,0.0024155441875409944
2,75,steel,L,0.1717681196805362
2,75,steel,LM,0.33719232784450137
2,75,steel,UM,0.09991370362739051
2,75,steel,H,0.022182479102065743
3,75,steel,NA,0.0031064699811588895
3,75,steel,L,0.20009103270648468
3,75,steel,LM,0.4401192384970648
3,75,steel,UM,0.10764866459406468
3,75,steel,H,0.02453089423067117
4,75,steel,NA,0.004020436650550172
4,75,steel,L,0.2292922152234116
4,75,steel,LM,0.5582734620071382
4,75,steel,UM,0.11625286034121826
4,75,steel,H,0.027513365646994598
5,75,steel,NA,0.005232480383140663
5,75,steel,L,0.2595900519045978
5,75,steel,LM,0.6863389134469922
5,75,steel,UM,0.12557677009724216
5,75,steel,H,0.030852772554423934
6,75,steel,NA,0.0064990990014990695
6,75,steel,L,0.29062488556174537
6,75,steel,LM,0.82390679156128
6,75,steel,UM,0.13704710177417073
6,75,steel,H,0.03454071063401088
7,75,steel,NA,0.007858865894209999
7,75,steel,L,0.322267394805139
7,75,steel,LM,0.9674782370887955
7,75,steel,UM,0.15543222711909532
7,75,steel,H,0.03848806255536678
8,75,steel,NA,0.00923744176929715
8,75,steel,L,0.3543682061442587
8,75,steel,LM,1.1165043717928649
8,75,steel,UM,0.17587054066240393
8,75,steel,H,0.04269257778162041
9,75,steel,NA,0.010728492557011056
9,75,steel,L,0.3869085114094311
9,75,steel,LM,1.2715001165761595
9,75,steel,UM,0.19878816637172586
9,75,steel,H,0.04718285680179279
10,75,steel,NA,0.012304363872737983
10,75,steel,L,0.4198526010019405
10,75,steel,LM,1.432221008402636
10,75,steel,UM,0.22542248891760427
10,75,steel,H,0.052150427807271554
